#Exp,t,N0,N1,N2,N3,N4,N5
1,	4	, 225.399163341	, 0.007395471	, 0.002465157	, 0.007395471	, 0.012325785	, 0
1,	5	, 299.577925068	, 0.288861638	, 0.071031551	, 0.374099496	, 0.06156068	, 0
1,	6	, 183.489204153	, 30.562319258	, 0.082863771	, 62.450458768	, 1.459122871	, 0
1,	7	, 38.44740747	, 78.353841751	, 0.196294774	, 102.738340134	, 1.312538182	, 0
1,	10	, 0.536474386	, 94.423650865	, 35.002527854	, 26.080695406	, 3.311724318	, 0
1,	12	, 1.016931612	, 42.297669325	, 23.162464814	, 10.815014905	, 2.1781338	    , 0
1,	14	, 0.639792239	, 112.991559688	, 6.841973991	, 32.888900316	, 8.859780282	, 0
1,	17	, 0.291022756	, 979.152388128	, 2.960840209	, 169.628307079	, 21.763440859	, 0
1,	21	, 0.250482871	, 43.396809652	, 14.213598318	, 8.870616039	, 4.537392835	, 0
2,	4	, 211.616406636	, 0.102558171	, 0.024755422	, 0.042437864	, 0.031828401	, 0
2,	5	, 339.285077387	, 0.245003937	, 0.131576187	, 0.358431684	, 0.0453711	    , 0
2,	6	, 198.350771039	, 7.758195512	, 0.035905699	, 21.294643736	, 0.371880447	, 0
2,	7	, 41.676262238	, 55.248498615	, 0.191251147	, 148.292180203	, 0.412179193	, 0
2,	10	, 2.774154518	, 135.432526672	, 4.174838421	, 50.479047048	, 4.776732304	, 0
2,	12	, 14.485935538	, 91.821506249	, 22.877801399	, 14.212949495	, 2.808417543	, 0
2,	14	, 0.430526159	, 1240.954538712, 4.245878673	, 124.288448344	, 17.191354902	, 0
2,	17	, 0.429598141	, 708.596357832	, 43.836194319	, 101.282057754	, 27.571608698	, 0
2,	21	, 0.99930748    , 897.747723251	, 62.148711718	, 176.548884376	, 194.618553827	, 0
3,	4	, 230.601316305	, 0.284264906	, 0.062475804	, 0.046856852	, 0.090589913	, 0
3,	5	, 202.942598552	, 1.477726651	, 5.050737395	, 12.117358625	, 5.685939306	, 0
3,	6	, 27.268215416	, 24.080290484	, 21.254172924	, 123.687869359	, 5.376859521	, 0
3,	7	, 15.376245727	, 87.711860937	, 77.617889022	, 87.438385009	, 4.242572525	, 0
3,	10	, 0.246850347	, 650.04672664	, 116.692891172	, 170.898983209	, 5.453148566	, 0
3,	12	, 0.119150003	, 233.233924663	, 74.989481601	, 16.883996739	, 1.584253745	, 0
3,	14	, 1.265646492	, 279.868638241	, 17.806740027	, 4.66798487	, 5.062585968	, 0
3,	17	, 0.833854119	, 405.294620923	, 40.402134994	, 12.258693525	, 31.620716939	, 0
3,	21	, 0.16687753	     ,202.731864705	, 18.568602015	, 68.524086461	, 10.673208794	, 0
4,	4	, 213.227340354	, 23.458520474	, 0.351304248	, 0.05018632	, 9.54974	    , 30500
